Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c,Max_a,Min_a,Avg_a,Max_b,Min_b,Avg_b
CapNoEQ30mat1mut,69.8,75,63,3.9384147967311813,124.4,69.8,0.0,2.272,7,1,0.3264897480098809,4,1,2.545522484466333,4,1,2.454477515533667
CapNoEQ30mat2mut,70.5,88,58,9.629237883769527,144134.7,43.8,26.7,2.724,8,1,0.4771955108292152,4,1,2.426982043989532,5,1,2.4847699493146065
CapNoEQ30mat3mut,75.6,85,52,10.647900158142814,273457.8,28.6,47.0,2.592,7,1,0.19668361508891488,0,1,2.4606195444770314,6,1,2.4300004998745544
CapNoEQ30mat4mut,82.2,109,60,16.52472894381831,445551.3,24.2,58.0,2.644,7,1,0.2622636502114279,7,1,2.49169073110171,4,1,2.3574262369214916
CapNoEQ30mat5mut,87.1,114,62,16.555965692160637,528740.0,17.2,69.9,2.448,8,1,0.41389209543873473,3,1,2.5077470550485494,5,1,2.478651056668117
NoCapEQ5mat1mut,53.8,62,44,6.62989860824097,101763.1,27,26.8,3.404,8,1,0.3889358701779911,57,1,8.579724166540457,67,1,10.534231542324552
NoCapEQ5mat2mut,51.5,59,41,5.892556509887896,182085.8,24.8,26.7,3.324,12,1,0.41545691045455535,96,1,8.486854333733397,4,1,8.929608934204522
NoCapEQ5mat3mut,55.2,64,43,5.750362307426087,238814.0,23.8,31.4,3.616,10,1,0.23339046919510464,18,1,8.329908149443435,37,1,7.409289840415951
NoCapEQ5mat4mut,54.9,67,43,6.6907896893167,398094.9,20.3,34.6,3.456,10,1,0.3951708491273111,48,1,6.988895966524194,14,1,5.425572053541132
NoCapEQ5mat5mut,55.2,76,42,10.881176406988354,560711.4,21.2,34.0,3.512,11,1,0.8032821560461942,34,1,5.0662780052316325,4,1,5.329488164532854
NoCapEQ10mat1mut,31.0,36,20,4.570436400267363,56417.6,13.9,17.1,2.276,7,1,0.23205363364724307,47,1,13.863923600577522,0,1,16.83946120689655
NoCapEQ10mat2mut,33.7,42,26,4.967673276069772,187192.4,13.1,20.6,2.364,7,1,0.25539511872129955,0,1,9.484105784580168,0,1,9.83504206314453
NoCapEQ10mat3mut,31.2,44,26,5.553777493242275,240766.7,11.6,19.6,2.304,6,1,0.31280807037045716,40,1,7.849525170170331,80,1,12.587421634518408
NoCapEQ10mat4mut,27.2,36,20,4.391911757866827,323685.7,11.1,16.1,2.088,7,1,0.2611427876766953,101,0,13.956944415460159,167,1,10.088159851698082
NoCapEQ10mat5mut,29.6,46,21,7.026932316294058,514533.0,11.2,18.4,2.276,8,1,0.3060573657194205,45,0,10.112386415919024,58,1,10.383399183344835
NoCapEQ15mat1mut,21.2,26,19,2.043961295567452,77877.0,9.6,11.6,1.956,4,1,0.09512564790259723,10,0,20.035994314609876,2,1,13.868369315657645
NoCapEQ15mat2mut,24.0,33,18,4.737556801183965,124401.8,10.7,13.3,2.024,5,1,0.1970448341537191,160,1,26.47007647027098,41,1,18.573105639593052
NoCapEQ15mat3mut,20.8,27,16,3.2591750830880843,286881.6,8.2,12.6,1.84,5,1,0.19136933459209765,152,1,18.813999533146593,85,0,16.419258636788047
NoCapEQ15mat4mut,19.1,26,14,4.332051092342595,354969.8,6.6,12.5,1.812,4,1,0.18766400234935252,57,1,11.893939749964519,84,1,16.00211214447747
NoCapEQ15mat5mut,21.5,28,13,4.766783215358364,475434.0,7.2,14.3,1.8639999999999999,4,1,0.14009520572334608,49,0,8.19895535475627,72,1,11.881464102470968
NoCapEQ20mat1mut,17.1,23,10,4.2282121254470875,57139.0,8.6,8.5,1.86,5,1,0.17204650534085256,71,0,36.33745968181323,55,0,20.210649858341508
NoCapEQ20mat2mut,17.7,25,10,5.078276172963507,80045.5,8.8,8.9,1.84,6,1,0.20396078054371145,266,1,29.69079430803115,0,1,27.73259534179271
NoCapEQ20mat3mut,16.7,20,12,2.5841396591085743,244005.4,6.8,9.9,1.764,4,1,0.13125039682479694,15,0,30.035125313283206,32,0,18.62560494373188
NoCapEQ20mat4mut,15.4,22,9,3.596294389136314,294200.1,5.7,9.7,1.752,6,1,0.23611673195923902,137,0,23.435583566760037,95,0,16.698189033189035
NoCapEQ20mat5mut,15.2,19,13,1.8135294011647258,474376.8,5.6,9.6,1.68,4,1,0.09428090415820634,67,0,10.8527762704272,26,1,15.003880218079134
NoCapEQ25mat1mut,15.8,20,11,2.485513584307633,61085.4,8,7.8,1.72,4,1,0.08844332774281063,139,1,32.675832647744414,28,0,22.03653023447141
NoCapEQ25mat2mut,15.3,19,12,2.5841396591085743,118740.1,7.4,7.9,1.756,4,1,0.21035419864811084,275,1,39.321735995342806,153,1,24.417845424269572
NoCapEQ25mat3mut,14.3,21,10,3.3681514877517675,248660.7,6.4,7.9,1.732,4,1,0.19234228748654192,129,1,36.634182312785256,193,1,29.399697018667606
NoCapEQ25mat4mut,14.9,18,12,2.5144029554194813,259840.6,5.8,9.1,1.748,4,1,0.19048476171191345,22,0,37.75262874380521,27,0,11.126756087050206
